Commit message,Class
fix bug rulesets disable properly also add comment refactored little git svn id baf c fc e,inline
minor improvement probe,push down
rf remove unused formal parameter,inline
sgf provide support sdg xml namespace load pre define data set use gemfire snapshot service development test purpose refactored snapshotapplicationevent separate applicationevent class handle import export refactored snapshotservicefactorybean class handle import export snapshotapplicationevents onapplicationevent snapshotapplicationevent add integration test archive file handle capability snapshotservicefactorybean snapshotserviceadaptersupport class add additional unit test,pull up
remove usage deprecate method collection key,move
add metadata link,extract
clean api user dao,inline
rename loggercontext reset method shutdownandreset,rename
rename typename seriesname make value series name rename mapname mp mapdescription value take description git svn id f ee dfeeeb,rename
tremendous patch wouter move lot thing new rule xml test format git svn id baf c fc e,inline
split filetokenfactory two part filetokenfactory basic translation databasefiletokenfactory add extra function depend know daemon database module resides,push down
refactor creation title summary report couple common method parent git svn id f bb ffa edef,pull up
roomframe ui update object tab add resourcemenu add instance apply preview choose object sprite consider add tooltip something enlarge image remove tabbedpane since need resourcemenu tile tab default edit tab since tab component component add remember switch default back back git svn id f f bc e cd,inline
checkpointing work progress need add migration strip old api cruft,extract
add new app filter group activity page,extract
jcbc support parameter n ql query motivation make sense request parameter n ql specification tune user offer api relevant parameter modification add queryparams follow parameter object pattern allow set various relevant query parameter n ql added consistency enum add unit test check produce json query coherence api add method jsonobject remove entry json key result user tune n ql query relevant parameter change id f c c adfdac cc e review tested simon baslé review michael nitschinger,pull up
benchmark stage separate namespaces remove separate symlinks xsd file replace single symlink schema directory move radargun xsd radargun benchmark xsd fit good urn radargun benchmark namespace move radargunscenario xsd radargun scenario xsd change namespace urn radargun scenario core stage radargun core xsd reduce code dependency directory lib dir annotatedhelper rename classpathscanner scan whole classpath,move
processor move core core many renames testfactory testconfig tab csvanalysisreasource xmlanalysisreasource start git svn id b f e b ddf,move
small code cleanup simplification,pull up
simplify getdigest,inline
add get usage json witness set,extract
arqajo remove dependency javassist,push down
extract method determines metric value,extract
many refactorings always use dyn getprop scope resolution extract hasownproperty helper remove dynjs scope proprietary call,extract
inlined clicker clickontext method wrapper actual clickontext method,inline
render decorator pass contentprocessor process tag add decorator allow decorator build tag treat content rather binding templating language jsp velocity cool side effect never end list templating system integrate work way web apps offline simple overview change introduce sitemeshwritetagrule handle definition decorator merges content rename sitemesh context object getcontenttomerge method use decorator need get access underlie content content process property default output post processing previously implicitly body make explicit note change introduces bug bunch test failure around tag resolve follow commit change already big push upstream fix,rename
extract test tomcat setup tomcatbuilder,extract
rename getpropertyclass getinputpropertyclass javadoc revision componentsynchronizepeer abstract implementation,rename
un implement encfsfileinputstream read runtimes readblock implementation end recursively call read byte since call super read byte get reflect back encfsfileinputstream result infinite recursion lame solution remove read byte int int encfsfileinputstream call fileinputstream read byte int int readblock,inline
fix format rename getbackingstore getstoreinternal,rename
rename access restriction restriction access since restriction something else point git svn id f ee dfeeeb,rename
add file base rel record updater move forward rel id handling later stage,move
mv class code package org dcm che data dcm che jboss sample remove startup flag dicomconfiguration singleton ejb deviceservice add template parameter,extract
various change pull request uoccou cleaning thing remove commented code remove unused field import remove specific bit refactors make jena bit independent sql stuff possible though still need work sdb tdb really end need factory sdb least move sql bit directory rather core,move
add mapdisplay getlocation x,extract
refactoring relay package extract android projecttests change yet,extract
admins able create account base exist patient,extract
merge r pbrant change head,inline
agova remove generic ease control framework first version new test also make oauthappsettings entry point configuration,inline
lot comment interface cleanup remove class implementation,pull up
hv move mapkeyextractor default valueextractors provide,move
move sendpdulength receivepdulength maxopsinvoked maxopsperformed packpdv applicationentity connection replace connection dimsersptimeout cstorersptimeout cfindrsptimeout cechorsptimeout neventreportrsptimeout ngetrsptimeout nsetrsptimeout nactionrsptimeout ncreatersptimeout ndeletersptimeout rename association nevent neventreport,rename
added ability set jmx attrs via probe sh,extract
refactoring method add enums operator modifier,inline
minor refactoring,pull up
rename rrc credential multiple use familiar name authentication,rename
refactored archivebuckettest test green make sure directory create remove,extract
rename show online player go null offline,rename
number substitution candidate type zero type remove seem root type fix conversion plural form feature well property customisation check fix broken argument processing xml marshaller unit test schema enable add xmls add case xsd anytype improve line branch coverage update readme respect future release,inline
metric add configurable obfuscation jms header attribute property,extract
support allow add seeds recovery journal like uri data point crawl via action directory support case million seed abstractfrontier java move sourcetagseeds set seedmodule trigger schedule seed via seedmodule announcement seedlistener protocol statisticstracker java implement seedlistener use processedseedrecords list seed processoruri java defaultprocessoruri java geturi convenience accessor plain uri string surtprefixeddeciderule java use seed prefix via seedlistener notification rather separate scan seed source text seedlistener java simplify notification new seed nonseed text mixed seed surt directive seedmodule java method seedlistener interface announceseeds acton file textseedmodule java eliminate interators add method announce seed scan seed text source include arbitrary file prefixset java surtprefixset java derive concurrentskiplistset eliminate unneeded extra synchronization clone offer considerasdirective direct application directive string,extract
refactor model include basic representation person probably link wikipedia,pull up
fix optional protocol dialog refactored code,extract
add writerequestqueue abstractiosession implementation need removed getwriterequestqueue iosession final implementation git svn id f bb ffa edef,pull up
refactor abstract class overlayendpoint use share functionality overlaytransport service connection,pull up
add support infinispan remote listener add support ispn remote listener code refactoring cache listener add ispn hotrod service server config file,push down
run truth subject test j cl change include expectfailure implement wrap interface testrule allow gwt swap add basesubjecttestcase class subjec test extend setup expectfailure ensure failure catch add small build rule similar gentestrules j cl test migrate two subject test start prove concept relnotes n create moe moe migrate revid,extract
move component core,pull up
arqgra grapheneelement use root fix grapheneelement use field type page fragment root require couple refactorins extract interface grapheneelement proxy create need interface list interface implement rename implementation grapheneelementimpl grapheneelement wrap element add wrapperenricher conditional code would take account grapheneelement ugly bit imo solution right,push down
process ordering dvd airthis service issue let look episodes show robot chicken refer season episode number information like e placement episode title dvd placement air placement western hay batch e e triple hot dog e e joel hurwitz return e e hopefully salt none e yogurt bag none e user file robot chicken e mp rename rule say add episode title filename title add answer former simply blanket policy prefer dvd order prefer dvd order look dvd placement show simply dvd information every show get release dvd beyond many show robot chicken example show release episode dvd others see robot chicken e mp still prefer dvd order episode e dvd placement one e regular placement use one prefer episode match season episode number dvd order fall back air placement episode meet criteria implement building index previously process iterate know episode dvd placement try add index place dvd placement try use air placementso western hay batch would enter index use dvd placement e since yogurt bag dvd placement would enter e would try add joel hurwitz return index e dvd placement hopefully salt would try add index use air placement e conflict behavior previous release panic log message two conflict episode put neither index note conflict happen two episode preferred placement happen one dvd placement one happen every time dvd placement disagree air placement example western hay batch triple hot dog could map e e preferred placement triple hot dog conflict commit introduces class episodeoptions placement map instance episodeoptions rather single episode iterate every episode show always add placement index dvd air reserve air fallback remember placement episodeoptions class preserve information look episode season say whether prefer dvd order air order always fallback get get order ask episode get one order request order episode application get dvd preference may change future commit already able get non dvd episode test harness go back example ensure deterministic answer e dvd e currently preference also ensure deterministic answer e air e dvd e exist functionality extract hopefully salt e yet expose userthe code would allow episode episode map two different place index also would allow multiple episode placement even order neither thing ever happen code check prepare handle data get provider,extract
nxp refactor route import test explode zip source fix test,extract
overenthusiastic refactoring united listener statelistener interface move listener management stagebase class move shared functionality monitor abstractmonitors class replace interface adapter default interface implementation add javadocs refactoring monitorstartstage,move
major refactoring jdbc package pretty bad shape extremely hard modify change make fix refactored jdbcmigrationcontext source connection abstract basicdatasource wrap connection add support environment without access data source database specific configuration option set jdbcmigrationcontext patch path set migration launcher fixed way database connection close old way cause pooled datasources hang less connection pass every class obtain connection context put concept formerly know dialect class databasetype add support oracle turn pain since oracle jdbc driver support multiple statement single statement execute call like postgres rename many old name make sense try make change backwards compatible possible test exist application warn whole thing need repackaged net sf autopatch point,push down
cleanup graph remove cross package graph simplify class graph,pull up
move accessors tcp tcp nio basictcp,pull up
jfg add testenvironmentrestcontroller extract exception handler globalcontrollerexceptionhandler refactoring add testenvironment model dao service add new unit test disable checkstyle check,pull up
added abstraction layer connectionless poll acceptor abstractpollingconnectionlessioacceptor datagramacceptor extends abstractpollingconnectionlessioacceptor git svn id f bb ffa edef,pull up
add negative test porperty access static code write functiondeclaraton functionexpr functiondeclaration delegate much possible child functionexpr fix handle local function comment testbind testbindnonexistentmethod test work flex need rewrite somehow native method allow user code note testbind testnotbound also work flex flex method always bound test green,inline
restructure way moo class interact felt tightly couple need split create update translator make happen,inline
added foreachjsonschematransform rename json model method return map add method return collection easy use freemarker templates git svn id c b b b e,rename
